Id,SalePrice
1676,186061
1677,222242
1678,483257
1679,462292
1680,359047
1681,248626
1682,305195
1683,182298
1684,166489
1685,182184
1686,169950
1687,168163
1688,180174
1689,184590
1690,186844
1691,178253
1692,264384
1693,176279
1694,180662
1695,168250
1696,277635
1697,168429
1698,380587
1699,323937
1700,268592
1701,259077
1702,254484
1703,231065
1704,305618
1705,230915
1706,478911
1707,223078
1708,228781
1709,273405
1710,214250
1711,239739
1712,215024
1713,255880
1714,225998
1715,210107
1716,211183
1717,159820
1718,132012
1719,191283
1720,249931
1721,160534
1722,126602
1723,151233
1724,209943
1725,233113
1726,202777
1727,162794
1728,175974
1729,174696
1730,161389
1731,120535
1732,135878
1733,122029
1734,127258
1735,127892
1736,118700
1737,361504
1738,212916
1739,278077
1740,226831
1741,165698
1742,163940
1743,168787
1744,287766
1745,236161
1746,270628
1747,211907
1748,237460
1749,161845
1750,126865
1751,247512
1752,124101
1753,141357
1754,213785
1755,172674
1756,131548
1757,123775
1758,155214
1759,169487
1760,165573
1761,138580
1762,168770
1763,178101
1764,115249
1765,139423
1766,159238
1767,210896
1768,147915
1769,166476
1770,139952
1771,138838
1772,135431
1773,135658
1774,134006
1775,134275
1776,109843
1777,109507
1778,138445
1779,109357
1780,181729
1781,142812
1782,99787.2
1783,125618
1784,90772
1785,104991
1786,169846
1787,169645
1788,62904.9
1789,82323.2
1790,87153.5
1791,176650
1792,159107
1793,129125
1794,148007
1795,135260
1796,121747
1797,122980
1798,127605
1799,114516
1800,131284
1801,122545
1802,161690
1803,150235
1804,140296
1805,136537
1806,112952
1807,139113
1808,120691
1809,121662
1810,150950
1811,112812
1812,97874
1813,120921
1814,92977.4
1815,57186.7
1816,95751.3
1817,123378
1818,139414
1819,117211
1820,59838.8
1821,119298
1822,160713
1823,28720
1824,134722
1825,139945
1826,102224
1827,113330
1828,139959
1829,115606
1830,147496
1831,168660
1832,97131.2
1833,143711
1834,103563
1835,132814
1836,127622
1837,86109
1838,136408
1839,88856.5
1840,175475
1841,152888
1842,87424.6
1843,129638
1844,144706
1845,129522
1846,144374
1847,145474
1848,57542.9
1849,125147
1850,131498
1851,163942
1852,134587
1853,129502
1854,171724
1855,145084
1856,232118
1857,161013
1858,137799
1859,118576
1860,156469
1861,119108
1862,223938
1863,218910
1864,218910
1865,344714
1866,333465
1867,240868
1868,295807
1869,207403
1870,236397
1871,238362
1872,174496
1873,251879
1874,144267
1875,177194
1876,194567
1877,200853
1878,219463
1879,131588
1880,135047
1881,231627
1882,250339
1883,204020
1884,214560
1885,260217
1886,284668
1887,198748
1888,276339
1889,165259
1890,144227
1891,143239
1892,113721
1893,127790
1894,114755
1895,137815
1896,123774
1897,107229
1898,117438
1899,166306
1900,169202
1901,181996
1902,122598
1903,245593
1904,151842
1905,187808
1906,189937
1907,211301
1908,118374
1909,139165
1910,124974
1911,191976
1912,279583
1913,157761
1914,58455.9
1915,319186
1916,72881.2
1917,257824
1918,136571
1919,155728
1920,149155
1921,431124
1922,319107
1923,215897
1924,184853
1925,211847
1926,385528
1927,134575
1928,168304
1929,135370
1930,133580
1931,132993
1932,143455
1933,176073
1934,180375
1935,180036
1936,185869
1937,182059
1938,168484
1939,260721
1940,183330
1941,178110
1942,200634
1943,197362
1944,298366
1945,399923
1946,148507
1947,317330
1948,171388
1949,229951
1950,179848
1951,241454
1952,230431
1953,164233
1954,197766
1955,131069
1956,323761
1957,169539
1958,314178
1959,139835
1960,114819
1961,120277
1962,92346.5
1963,99821.5
1964,116138
1965,146999
1966,152617
1967,299336
1968,491374
1969,431465
1970,489018
1971,473461
1972,382284
1973,258050
1974,314124
1975,427015
1976,276460
1977,353540
1978,392959
1979,332068
1980,194818
1981,346512
1982,237215
1983,207156
1984,156781
1985,210620
1986,218130
1987,173169
1988,180187
1989,194994
1990,216693
1991,264995
1992,225855
1993,166505
1994,213887
1995,180634
1996,235774
1997,260024
1998,305282
1999,274119
2000,313449
2001,256332
2002,230427
2003,215750
2004,242681
2005,240841
2006,235380
2007,248529
2008,229995
2009,198588
2010,180386
2011,134835
2012,167363
2013,189065
2014,185681
2015,204586
2016,197653
2017,197780
2018,126104
2019,135009
2020,114082
2021,119463
2022,185539
2023,150765
2024,206934
2025,389161
2026,173647
2027,157183
2028,147568
2029,172476
2030,275596
2031,255784
2032,286460
2033,279870
2034,165547
2035,206427
2036,192539
2037,208168
2038,334683
2039,221778
2040,372163
2041,291529
2042,192354
2043,162732
2044,185672
2045,217289
2046,137508
2047,144785
2048,137078
2049,137238
2050,188290
2051,106345
2052,139143
2053,146028
2054,82393
2055,164034
2056,137009
2057,126166
2058,247677
2059,121427
2060,159435
2061,184140
2062,136773
2063,107544
2064,143674
2065,129721
2066,166119
2067,124799
2068,136183
2069,87151.5
2070,109069
2071,83939.9
2072,135890
2073,137567
2074,194674
2075,145964
2076,115530
2077,150481
2078,127410
2079,134475
2080,113360
2081,121707
2082,138143
2083,153398
2084,109938
2085,135800
2086,101443
2087,119176
2088,100153
2089,80336.3
2090,127414
2091,125666
2092,145322
2093,127756
2094,137280
2095,140986
2096,83391
2097,97256.1
2098,147480
2099,57315.7
2100,106220
2101,114347
2102,137042
2103,103811
2104,139801
2105,128595
2106,62739.2
2107,236307
2108,119670
2109,109118
2110,130334
2111,147743
2112,142917
2113,131822
2114,97543.1
2115,178144
2116,124121
2117,157056
2118,128751
2119,105704
2120,121089
2121,106987
2122,103403
2123,90474
2124,186642
2125,134069
2126,147372
2127,187430
2128,138348
2129,99861.2
2130,148826
2131,174390
2132,119140
2133,113391
2134,129109
2135,91657
2136,77542.3
2137,105052
2138,138621
2139,153124
2140,143396
2141,149972
2142,126106
2143,136521
2144,101970
2145,133228
2146,163011
2147,124614
2148,130273
2149,146689
2150,229454
2151,128931
2152,204566
2153,166752
2154,107473
2155,149617
2156,219278
2157,220064
2158,244780
2159,196025
2160,168921
2161,246550
2162,383721
2163,312592
2164,253054
2165,187652
2166,153996
2167,207771
2168,212450
2169,192496
2170,227739
2171,141357
2172,125606
2173,162319
2174,232354
2175,294126
2176,326113
2177,261139
2178,212673
2179,145123
2180,179937
2181,181797
2182,237486
2183,194530
2184,132469
2185,99796
2186,145130
2187,150548
2188,162566
2189,218024
2190,79797.4
2191,79347
2192,93164.1
2193,106143
2194,107390
2195,106030
2196,102441
2197,117354
2198,154721
2199,150395
2200,146716
2201,153921
2202,227761
2203,171141
2204,177697
2205,126519
2206,153662
2207,218014
2208,203728
2209,223496
2210,123040
2211,118003
2212,119026
2213,96672.2
2214,140713
2215,99906.4
2216,145427
2217,75145.3
2218,77643.2
2219,58790.2
2220,66397.1
2221,330352
2222,246789
2223,270728
2224,205793
2225,131338
2226,192811
2227,211058
2228,269035
2229,245945
2230,163808
2231,192635
2232,189221
2233,161175
2234,256205
2235,215170
2236,284166
2237,389601
2238,203881
2239,124313
2240,159761
2241,165404
2242,137079
2243,118078
2244,98957.3
2245,106148
2246,147930
2247,104205
2248,130519
2249,123771
2250,128515
2251,134567
2252,164516
2253,170406
2254,187471
2255,204039
2256,184930
2257,210274
2258,162522
2259,179139
2260,133729
2261,164236
2262,210346
2263,321057
2264,393096
2265,161788
2266,305056
2267,385633
2268,356727
2269,162084
2270,176866
2271,237958
2272,200139
2273,153548
2274,175576
2275,154873
2276,198440
2277,187083
2278,158723
2279,129243
2280,116852
2281,180610
2282,176686
2283,95723.2
2284,106719
2285,153655
2286,134126
2287,349287
2288,292570
2289,397592
2290,465874
2291,298199
2292,441301
2293,549836
2294,446353
2295,476704
2296,279098
2297,339277
2298,261429
2299,372641
2300,333982
2301,277824
2302,236440
2303,244372
2304,211405
2305,189922
2306,178710
2307,190335
2308,214764
2309,290336
2310,207625
2311,184509
2312,181536
2313,182847
2314,164180
2315,175163
2316,194220
2317,180151
2318,175429
2319,171584
2320,210030
2321,255129
2322,168403
2323,185923
2324,173633
2325,213877
2326,164649
2327,206968
2328,235806
2329,185640
2330,173048
2331,333469
2332,429567
2333,321795
2334,276982
2335,272248
2336,335134
2337,233962
2338,281994
2339,227953
2340,399401
2341,219390
2342,238591
2343,220247
2344,241470
2345,211370
2346,216982
2347,210147
2348,223937
2349,172711
2350,278688
2351,266054
2352,272422
2353,262237
2354,133163
2355,143026
2356,153786
2357,193818
2358,204851
2359,122529
2360,118825
2361,141470
2362,216510
2363,128255
2364,158384
2365,206408
2366,186673
2367,229830
2368,218742
2369,225496
2370,173081
2371,151229
2372,197385
2373,297972
2374,329732
2375,268636
2376,291108
2377,396894
2378,133914
2379,179312
2380,134643
2381,151924
2382,190485
2383,208460
2384,259018
2385,160937
2386,143461
2387,132898
2388,100160
2389,121665
2390,151871
2391,143477
2392,118681
2393,171786
2394,145145
2395,205000
2396,140537
2397,228204
2398,118471
2399,56512.1
2400,38768.2
2401,123565
2402,143308
2403,130992
2404,154063
2405,171488
2406,138548
2407,139148
2408,139361
2409,139354
2410,183367
2411,123060
2412,155126
2413,137142
2414,135208
2415,132405
2416,122705
2417,144875
2418,130426
2419,146023
2420,119059
2421,158576
2422,117022
2423,120505
2424,164553
2425,206327
2426,123595
2427,149674
2428,183444
2429,119605
2430,131262
2431,110579
2432,139127
2433,151539
2434,118199
2435,151946
2436,108799
2437,125989
2438,131039
2439,103647
2440,121337
2441,88465.8
2442,101055
2443,124778
2444,127954
2445,83048
2446,139744
2447,176212
2448,128529
2449,115034
2450,158055
2451,126774
2452,203314
2453,84881
2454,133760
2455,111174
2456,136461
2457,126948
2458,136516
2459,112803
2460,146599
2461,123362
2462,128112
2463,121953
2464,194556
2465,133907
2466,119404
2467,160172
2468,62431.3
2469,62867.7
2470,167684
2471,224248
2472,175940
2473,105308
2474,71966.7
2475,172695
2476,115135
2477,133004
2478,157343
2479,97974.9
2480,169137
2481,112425
2482,136599
2483,119763
2484,125599
2485,120994
2486,151197
2487,158243
2488,173753
2489,133776
2490,153134
2491,88066.3
2492,184960
2493,129884
2494,176433
2495,89793.9
2496,264920
2497,161048
2498,118459
2499,96339
2500,134004
2501,144867
2502,145595
2503,95684.7
2504,201523
2505,217324
2506,255474
2507,299125
2508,255474
2509,211261
2510,219592
2511,174293
2512,205555
2513,212465
2514,264662
2515,159699
2516,158096
2517,145711
2518,147301
2519,234551
2520,200550
2521,182313
2522,235343
2523,124419
2524,138540
2525,143524
2526,138495
2527,116769
2528,123981
2529,140564
2530,114517
2531,236766
2532,222044
2533,187351
2534,231917
2535,324178
2536,255978
2537,244472
2538,174483
2539,175465
2540,172058
2541,177357
2542,169942
2543,136804
2544,128738
2545,121231
2546,141809
2547,139033
2548,148966
2549,165329
2550,246189
2551,145619
2552,132270
2553,77298.3
2554,110742
2555,125416
2556,102311
2557,115048
2558,159426
2559,144141
2560,152155
2561,144431
2562,150098
2563,160330
2564,168550
2565,139144
2566,170260
2567,118666
2568,183604
2569,191805
2570,121702
2571,183683
2572,151603
2573,201168
2574,293257
2575,135204
2576,124075
2577,173686
2578,88574.6
2579,77521.6
2580,117394
2581,133859
2582,111226
2583,293995
2584,163046
2585,189467
2586,198080
2587,189807
2588,163909
2589,136864
2590,218436
2591,228662
2592,212219
2593,267874
2594,184566
2595,187506
2596,344493
2597,176879
2598,291659
2599,257564
2600,164065
2601,149943
2602,82430.4
2603,89206.3
2604,78360.6
2605,75608.3
2606,148922
2607,177545
2608,213713
2609,165549
2610,123310
2611,140250
2612,141061
2613,130441
2614,126681
2615,151033
2616,145715
2617,178839
2618,191184
2619,209998
2620,180298
2621,180872
2622,185634
2623,255921
2624,277510
2625,320807
2626,164897
2627,158262
2628,459064
2629,527612
2630,367516
2631,450876
2632,445878
2633,326510
2634,408358
2635,154330
2636,190737
2637,165495
2638,221172
2639,195404
2640,153100
2641,113261
2642,187234
2643,112460
2644,121289
2645,97329.2
2646,97004.7
2647,96654.5
2648,142143
2649,152015
2650,150167
2651,144164
2652,462081
2653,257607
2654,258997
2655,410014
2656,268810
2657,324555
2658,281262
2659,319735
2660,332528
2661,358452
2662,332999
2663,273113
2664,274441
2665,323259
2666,287307
2667,167088
2668,175619
2669,176175
2670,303535
2671,174918
2672,190912
2673,222880
2674,221901
2675,171878
2676,183740
2677,188306
2678,244028
2679,293876
2680,270973
2681,426357
2682,361253
2683,550535
2684,315390
2685,377085
2686,254648
2687,349631
2688,216409
2689,205429
2690,567705
2691,191256
2692,125581
2693,200334
2694,120925
2695,185998
2696,178538
2697,194633
2698,198568
2699,176640
2700,160549
2701,152808
2702,119541
2703,137374
2704,141018
2705,133677
2706,117455
2707,129878
2708,140973
2709,105035
2710,123309
2711,262459
2712,399971
2713,163511
2714,148983
2715,180611
2716,153963
2717,170537
2718,234619
2719,152365
2720,166640
2721,140161
2722,167398
2723,150510
2724,137437
2725,132547
2726,143322
2727,166368
2728,192261
2729,156398
2730,147392
2731,131860
2732,131051
2733,170834
2734,144124
2735,135696
2736,133083
2737,122731
2738,131852
2739,164465
2740,138102
2741,153064
2742,157254
2743,155254
2744,153558
2745,131392
2746,139085
2747,173005
2748,114292
2749,139487
2750,135316
2751,133662
2752,188968
2753,159733
2754,199140
2755,127706
2756,76158.3
2757,60836.8
2758,69410
2759,172237
2760,135439
2761,142175
2762,148458
2763,197286
2764,168674
2765,285744
2766,139866
2767,96356.5
2768,132680
2769,121609
2770,140557
2771,113904
2772,121532
2773,153509
2774,150189
2775,132825
2776,148945
2777,144291
2778,106660
2779,128699
2780,97210
2781,105248
2782,93763.7
2783,99545
2784,125011
2785,136534
2786,62332
2787,121017
2788,72847.4
2789,208753
2790,85032.3
2791,120858
2792,50149.5
2793,181210
2794,108274
2795,122195
2796,101964
2797,209478
2798,147083
2799,124982
2800,63133.1
2801,111729
2802,137207
2803,155893
2804,160694
2805,100150
2806,86100.8
2807,153432
2808,148986
2809,135531
2810,135163
2811,151224
2812,139311
2813,148095
2814,143169
2815,105872
2816,269133
2817,150609
2818,133275
2819,176389
2820,128299
2821,110572
2822,201998
2823,256242
2824,195932
2825,157140
2826,132731
2827,125544
2828,230174
2829,185587
2830,229166
2831,189226
2832,225919
2833,288351
2834,210668
2835,223444
2836,184625
2837,149363
2838,147728
2839,174035
2840,199517
2841,201881
2842,228527
2843,154371
2844,152832
2845,123370
2846,210065
2847,200623
2848,233757
2849,211438
2850,295645
2851,239600
2852,218378
2853,239995
2854,139303
2855,197245
2856,211154
2857,178460
2858,189078
2859,139899
2860,134356
2861,114818
2862,201767
2863,122753
2864,274792
2865,142035
2866,133108
2867,98622.4
2868,101691
2869,114865
2870,133926
2871,84331.9
2872,48804.1
2873,102123
2874,137819
2875,108950
2876,164146
2877,145152
2878,148662
2879,140317
2880,95135.1
2881,150147
2882,186021
2883,183242
2884,181850
2885,203355
2886,211977
2887,95837.7
2888,134262
2889,66805
2890,81452.8
2891,133033
2892,38116.6
2893,104294
2894,52147.1
2895,363748
2896,285746
2897,208679
2898,148736
2899,219799
2900,166979
2901,220572
2902,189862
2903,370800
2904,354969
2905,117328
2906,206332
2907,112224
2908,137737
2909,141487
2910,82310.6
2911,82885.3
2912,146995
2913,79793.9
2914,75754.9
2915,80132.6
2916,78607.3
2917,173360
2918,107471
2919,215315

